Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
18,M-0467,CHANRE DIAGNOSTIC LABORATORY (A UNIT OF CHANRE LABORATORY PRIVATE LTD),nabl000821,2022,Medical,Renewal of Accreditation,DR RENUKA P,drrenuka@chanrediagnostic.com,9243420431,"# 121/1, 3RD MAIN, MARGOSA ROAD, MALLESWARAM",Karnataka,Bengaluru,560003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3018,19/11/2024,18/11/2028,,21/11/2024,Archive Applications,May 13 2026 7:30AM
19,M-0903,"CENTRAL LABORATORY, KIMS",nabl000871,2022,Medical,Renewal of Accreditation,Rajlaxmi Sarangi,rajlaxmi.sarangi@kims.ac.in,8940222185,"KIIT, CAMPUS-5, PATIA",Odisha,Bhubaneswar,751024,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-5780,10/07/2025,09/07/2029,,,Archive Applications,May 13 2026 7:30AM
20,M-0711,"DEPARTMENT OF LABORATORY MEDICINE, BHAILAL AMIN GENERAL HOSPITAL",nabl000895,2022,Medical,Renewal of Accreditation,RAKESH VAIDYA,rakesh.vaidya@baghospital.com,9824136084,"3RD. FLOOR, LEGACY BUILDING, BHAILAL AMIN MARG (ALEMBIC ROAD), GORWA",Gujarat,Vadodara,390003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3004,13/12/2025,12/12/2029,,26/12/2025,Gayathri S,May 13 2026 7:30AM
21,M-1350,"ASRAM CENTRAL LABORATORY, ALLURI SITARAMA RAJU ACADEMY OF MEDICAL SCIENCES (ASRAM)",nabl000905,2022,Medical,Renewal of Accreditation,SUCHITRA,"suchikavuri@gmail.com, info@ asram.in",9490857145,"MALKAPURAM, NH-5, VIJAYAWADA-VISAKHAPATNAM ROAD",Andhra Pradesh,Eluru,534005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6304,02/02/2026,01/02/2030,,06/02/2026,Shweta Sinha,May 13 2026 7:30AM
22,M-0986,ATS GENETECH PRIVATE LIMITED,nabl000906,2022,Medical,Renewal of Accreditation,K V Harini,qc@genetech.co.in,8801717947,"8-2-293/174/A25, ROAD NO.14, BANJARA HILLS",Telangana,Hyderabad,500034,Accreditation Certificate Approved and Issued,"Molecular Testing,Cytogenetics",,MC-6847,17/09/2024,16/09/2026,,,Archive Applications,May 13 2026 7:30AM
23,M-0971,"GOYAL HOSPITAL & RESEARCH CENTRE PRIVATE LIMITED, DEPARTMENT OF PATHOLOGY",nabl000935,2022,Medical,Renewal of Accreditation,Vandana Mishra,info@goyalhospital.org,9929098144,"961/2, RESIDENCY ROAD",Rajasthan,Jodhpur,342003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-3048,15/12/2025,14/12/2029,,,Archive Applications,May 13 2026 7:30AM
24,M-1888,SIGMA DIAGNOSTIC & IMAGING CENTRE,nabl000979,2022,Medical,Renewal of Accreditation,RAMINDER SINGH BHATIA,sigma_dic@yahoo.co.in,9999990201,"17, TARUN ENCLAVE, PITAMPURA",Delhi,New Delhi,110034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6275,25/01/2026,24/01/2030,,,Archive Applications,May 13 2026 7:30AM
25,M-0515,"DEPARTMENT OF PATHOLOGY AND LABORATORY MEDICINE, MEDANTA -THE MEDICITY",nabl001005,2022,Medical,Renewal of Accreditation,Shalini Goel,shalini.goel@medanta.org,9650805229,SECTOR 38,Haryana,Gurgaon,122001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-2346,05/10/2025,04/10/2029,,,Archive Applications,May 13 2026 7:30AM
26,M-1232,VAIDYA LAB THANE UNIT OF MILLENNIUM SPECIAL LAB PRIVATE LIMITED,nabl001008,2022,Medical,Renewal of Accreditation,MADHU NANGLA,qm@millenniumpathlabs.com,9619432268,"ODYSSEY PARK, 2ND FLOOR, 201, RAGHUNATH NAGAR, WAGLE ESTATE",Maharashtra,Thane,400604,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2107,06/03/2026,05/03/2030,,,Archive Applications,May 13 2026 7:30AM
27,M-0731,BURDWAN SCAN CENTRE PRIVATE LIMITED,nabl001029,2022,Medical,Renewal of Accreditation,JOY DUTTA,bscpl.burdwan2024@gmail.com,6297571742,"7, R.B.GHOSH ROAD, KHOSHBAGAN",West Bengal,Barddhaman,713101,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",",--Select Group--",MC-2106,15/03/2025,14/03/2029,,20/03/2025,Archive Applications,May 13 2026 7:30AM
28,M-0341,NEW CIVIL HOSPITAL SURAT LABORATORY SERVICES,nabl001038,2022,Medical,Renewal of Accreditation,R.N. Hathila,nchslsnchs@gmail.com,9825641338,"NEW CIVIL HOSPITAL, MAJURA GATE",Gujarat,Surat,395001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6909,11/10/2024,10/10/2028,,,Archive Applications,May 13 2026 7:30AM
29,M-0927,GARG PATHOLOGY PRIVATE LIMITED,nabl001072,2022,Medical,Renewal of Accreditation,MONIKA GARG,gargpath2018@gmail.com,8126777454,"PLOT NO.10, GARDEN HOUSE COLONY, JANTA NAGAR, GARH ROAD",Uttar Pradesh,Meerut,250002,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-2983,28/11/2025,27/11/2029,,,Shweta Sinha,May 13 2026 7:30AM
30,M-0946,"HIV TESTING LABORATORY, GOVT. THENI MEDICAL COLLEGE",nabl001078,2022,Medical,Renewal of Accreditation,K Anusha,anukalasans@gmail.com,8220365645,"SHANMUGASUNDARAPURAM VILLAGE, ANDIPATTI POST",Tamil Nadu,Theni,625512,Accreditation Certificate Approved and Issued,"Flow Cytometry,Microbiology & Infectious disease serology",,MC-2998,23/10/2025,22/10/2029,,,Archive Applications,May 13 2026 7:30AM
31,M-1565,"DEPARTMENT OF LABORATORY MEDICINE, N.M. VIRANI WOCKHARDT HOSPITAL",nabl001105,2022,Medical,Renewal of Accreditation,Ashvin Chaturvedi,ASHVIN.CHATURVEDI@WOCKHARDTHOSPITALS.COM,9016607872,KALAWAD ROAD,Gujarat,Rajkot,360007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2974,10/10/2025,09/10/2029,,,Archive Applications,May 13 2026 7:30AM
32,M-0951,SN GENELAB,nabl001125,2022,Medical,Renewal of Accreditation,MEGHA JAIN,contact@sngenelab.com,9586177755,"2ND FLOOR, PRESIDENT PLAZA A, NANPURA",Gujarat,Surat,395005,Accreditation Certificate Approved and Issued,"Molecular Testing,Cytogenetics",,MC-7414,04/06/2025,03/06/2029,,,Archive Applications,May 13 2026 7:30AM
33,M-1556,"LABORATORY SERVICES, BHARDWAJ HOSPITAL",nabl001131,2022,Medical,Renewal of Accreditation,Juhee Chandra,chandrajuhee@gmail.com,9810194704,"NH-1,SEC-29",Uttar Pradesh,Noida,201301,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2939,11/09/2025,10/09/2029,,,Archive Applications,May 13 2026 7:30AM
34,M-1569,KAMINENI HEALTH CARE PVT. LTD. - KAMINENI DIAGNOSTIC LABORATORY SERVICES,nabl001148,2022,Medical,Renewal of Accreditation,E Aruna,drearuna@gmail.com,9849241334,"KAMINENI HOSPITAL, 100 FEET ROAD, PORANKI",Andhra Pradesh,Vijayawada,521137,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Microbiology & Infectious disease serology",,MC-3095,21/09/2024,20/09/2026,,,Archive Applications,May 13 2026 7:30AM
35,M-1563,KAMINENI INSTITUTE OF MEDICAL SCIENCES DIAGNOSTIC LABORATORY,nabl001171,2022,Medical,Renewal of Accreditation,Y DivyaPrafulla,kimsdl2018@gmail.com,9030583380,"KAMINENI INSTITUTE OF MEDICAL SCIENCES HOSPITAL, SREEPURAM, NARKATPALLY",Telangana,Nalgonda,508254,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",",--Select Group--",MC-8068,30/04/2026,29/04/2030,,,Archive Applications,May 13 2026 7:30AM
36,M-0049,METROPOLIS HEALTHCARE LIMITED,nabl001188,2022,Medical,Onsite Surveillance,Niaz Ahmed,niaz.ahmed@metropolisindia.com,9999589860,"CONSTRUCTION HOUSE, GROUND FLOOR, FIRST FLOOR, BHANDARKAR ROAD, 796/189/B, DECCAN GYMKHANA",Maharashtra,Pune,411004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2034,11/12/2024,10/12/2028,,23/12/2025,Archive Applications,May 13 2026 7:30AM
37,M-1192,SHAH PATH LAB LLP,nabl001192,2022,Medical,Renewal of Accreditation,SAMEER SHAH,shahpathlabllp@gmail.com,9822050653,29 JAI NAGAR,Maharashtra,Jalgaon,425002,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-6218,27/12/2025,26/12/2029,,,Archive Applications,May 13 2026 7:30AM
38,M-3669,"LABORATORY, MANIPAL HOSPITAL YESHWANTHPUR",nabl001203,2022,Medical,Renewal of Accreditation,Shwetha R Bangalore,shwetha.r@manipalhospitals.com,9535871458,"#26/4, BRIGADE GATEWAY, MALLESHWARAM WEST",Karnataka,Bengaluru,560055,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-6279,23/01/2026,22/01/2030,,,Archive Applications,May 13 2026 7:30AM
39,M-1609,RAJAGIRI HOSPITAL LABORATORY SERVICES,nabl001209,2022,Medical,Renewal of Accreditation,SUNITHA THOMAS,sunitha.thomas@rajagirihospital.com,9495010746,CHUNANGAMVELY,Kerala,Aluva,683112,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Diagnostics,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-3159,23/04/2026,22/04/2030,,30/04/2026,Shweta Sinha,May 13 2026 7:30AM
40,M-1159,PRECISION PATH LAB,nabl001240,2022,Medical,Renewal of Accreditation,SAMEER AGARWAL,drsam937@gmail.com,9983117003,"72/02, SHIPRA PATH, MANSAROVAR",Rajasthan,Jaipur,302020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3002,23/10/2025,22/10/2029,,24/10/2025,Shweta Sinha,May 13 2026 7:30AM
41,M-1572,TENET DIAGNOSTICS (A UNIT OF TENET MEDCORP PRIVATE LIMITED),nabl001273,2022,Medical,Renewal of Accreditation,Syed Basheer Uddin,basheer@tenetmedcorp.com,9989422226,"PLOT NO.51, KINETA TOWERS, JOURNALIST COLONY, ROAD NO.3, BANJARA HILLS",Telangana,Hyderabad,500034,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",,MC-2977,23/10/2025,09/10/2029,,07/11/2025,Archive Applications,May 13 2026 7:30AM
42,M-0607,"ARTEMIS HOSPITAL, LAB SERVICES (A UNIT OF ARTEMIS MEDICARE SERVICES LTD.)",nabl001290,2022,Medical,Renewal of Accreditation,PARMA NAND BAHUGUNA,parmanand@artemishospitals.com,9716019999,SECTOR - 51,Haryana,Gurugram,122001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3061,15/12/2025,14/12/2029,,,Archive Applications,May 13 2026 7:30AM
43,M-0084,THE CALCUTTA MEDICAL RESEARCH INSTITUTE (DEPARTMENT OF PATHOLOGY),nabl001314,2022,Medical,Scope Extension,ARINDAM MONDAL,arindam.mondal@ckbirlahospitals.com,8017658816,7/2 DIAMOND HARBOUR ROAD,West Bengal,Kolkata,700027,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2110,19/12/2024,18/12/2028,,04/12/2025,Archive Applications,May 13 2026 7:30AM
44,M-0611,"LABORATORY SERVICES, SARVODAYA HOSPITAL AND RESEARCH CENTER",nabl001321,2022,Medical,Renewal of Accreditation,Deepika Parwan,deepika.parwan@sarvodayahospital.com,9711811080,"YMCA ROAD, SECTOR - 8",Haryana,Faridabad,121006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2277,23/09/2025,22/09/2029,,,Gayathri S,May 13 2026 7:30AM
45,M-0083,B. M. BIRLA HEART RESEARCH CENTRE (DEPARTMENT OF LABORATORY SERVICES),nabl001357,2022,Medical,Renewal of Accreditation,Soniya Karmakar,soniya.karmakar@ckbirlahospitals.com,9874793513,"1/1, NATIONAL LIBRARY AVENUE",West Bengal,Kolkata,700027,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-3102,24/02/2026,23/02/2030,,,Gayathri S,May 13 2026 7:30AM
46,M-0422,APEX HOSPITALS PVT. LTD. LAB,nabl001398,2022,Medical,Renewal of Accreditation,Mayuree Rahangdale,quality@apexhospitals.com,9691785612,"SP 4 & 6, MALVIYA INDUSTRIAL AREA, MALVIYA NAGAR",Rajasthan,Jaipur,302017,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6208,15/12/2025,14/12/2029,,,Archive Applications,May 13 2026 7:30AM
47,M-1107,"DEPARTMENT OF PATHOLOGY, MARIAMPUR HOSPITAL",nabl001401,2022,Medical,Renewal of Accreditation,ARPITHA MATHEW,mariampurlab@gmail.com,9170007397,"GOVIND NAGAR RD, SHASTRI NAGAR",Uttar Pradesh,Kanpur,208005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-2962,16/03/2026,15/03/2030,,,Shweta Sinha,May 13 2026 7:30AM
48,M-0318,MEDICAL TESTING LABORATORY - YASHODA HOSPITAL & RESEARCH CENTRE,nabl001409,2022,Medical,Renewal of Accreditation,Dr shuchi,drshuchichopra@gmail.com,9591037043,III-M NEHRU NAGAR,Uttar Pradesh,Ghaziabad,201001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-3022,27/10/2025,26/10/2029,,05/11/2025,Archive Applications,May 13 2026 7:30AM
49,M-0912,"DEPARTMENT OF PATHOLOGY, HEILEN CROSS DIAGNOSTICS PRIVATE LIMITED",nabl001414,2022,Medical,Renewal of Accreditation,Aruna Chakraborty,heilencross@hotmail.com,9830421759,"40 A, HINDUSTAN PARK",West Bengal,Kolkata,700029,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-6427,28/03/2026,27/03/2030,,31/03/2026,Gayathri S,May 13 2026 7:30AM
50,M-0981,"WOCKHARDT RESEARCH CENTRE, IMMUNO DIAGNOSTIC LAB",nabl001451,2022,Medical,Renewal of Accreditation,Ramdas Bargal,RBargal@wockhardt.com,9767109772,"IMMUNO DIAGNOSTIC LAB, 1ST FLOOR, CPB DEPARTMENT, WOCKHARDT RESEARCH & DEVELOPMENT CENTRE",Maharashtra,Aurangabad,431006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7281,28/03/2025,27/03/2029,,,Archive Applications,May 13 2026 7:30AM
51,M-0802,"LAB SERVICES, APOLLO SPECIALITY HOSPITALS",nabl001456,2022,Medical,Renewal of Accreditation,K R Vijayabasker Mithun,drmithun_kr@apollohospitals.com,9524744211,"P 3, KK NAGAR EAST 1ST STREET",Tamil Nadu,Madurai,625020,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-2997,31/10/2025,30/10/2029,,01/11/2025,Archive Applications,May 13 2026 7:30AM
52,M-0968,EKOPATH METROPOLIS LAB SERVICES PVT LTD,nabl001458,2022,Medical,Scope Extension,Subhajit Paul,subhajit.ekopath@metropolisindia.com,9508493527,"4TH FLOOR, SWAGOTA ENVISION, GS ROAD, KHANAPARA",Assam,Guwahati,781022,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2368,15/12/2024,14/12/2028,,03/10/2025,Archive Applications,May 13 2026 7:30AM
53,M-0307,N G MEDICARE & CALCUTTA HOPE INFERTILITY CLINIC (DEPARTMENT OF PATHOLOGY),nabl001486,2022,Medical,Renewal of Accreditation,SAYED M. NADEEM,nadeemsm_2006@hotmail.com,9830026389,"123 A, RASHBEHARI AVENUE",West Bengal,Kolkata,700029,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-3067,13/12/2025,12/12/2029,,,Gayathri S,May 13 2026 7:30AM
54,M-0368,SURBHI HOSPITAL LABORATORY DIVISION,nabl001547,2022,Medical,Renewal of Accreditation,MEENU AGGARWAL,happymeenu@yahoo.com,9999014599,"K NO. 332, MORNA, GOLF COURSE ROAD",Uttar Pradesh,Noida,201301,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-3001,20/11/2025,19/11/2029,,,Gayathri S,May 13 2026 7:30AM
